日期,销售额,订单数量,平均订单价值,客户评分,产品类别,地区
2024-01-01,10993.428306022466,166,152.61105684440017,4.477279200203397,书籍,华东
2024-01-02,9723.471397657631,183,121.57975860173627,3.988888195928112,电子产品,华中
2024-01-03,11295.377076201385,107,126.617214123674,4.385395908328434,服装,华中
2024-01-04,13046.059712816052,93,84.10456197503973,4.149870123457483,电子产品,华北
2024-01-05,9531.693250553328,110,151.65467629255835,4.976527111104356,食品,西北
2024-01-06,9531.726086101638,96,225.17067628925918,3.7243709640013485,电子产品,华中
2024-01-07,13158.425631014783,198,119.44141655686539,4.1968978949537155,食品,华北
2024-01-08,11534.869458305817,129,239.2859078446492,4.520684939538988,食品,华中
2024-01-09,9061.051228130096,167,192.4275378783724,4.093317625819953,家居,西北
2024-01-10,11085.12008717193,196,135.79233657068673,4.962049777806035,书籍,华南
2024-01-11,9073.164614375075,69,150.81794114456636,4.582831441890402,食品,西北
2024-01-12,9068.540492859487,195,145.94699076255188,4.48547578634674,家居,华东
2024-01-13,10483.924543132069,96,201.18491920193134,4.635588901416835,书籍,华中
2024-01-14,6173.439510684404,98,165.51047190353881,4.928972957058075,食品,华中
2024-01-15,6550.164334973934,63,185.45922145865444,4.86172797947696,食品,华东
2024-01-16,8875.424941518055,192,160.74515536084044,4.586427962189617,电子产品,华东
2024-01-17,7974.3377593311525,50,146.6408243821615,4.6237424586519245,电子产品,华南
2024-01-18,10628.494665190548,166,159.79270095212144,3.718883111052718,书籍,华中
2024-01-19,8183.9518489575785,103,137.79167298383757,3.6541886067389986,食品,华中
2024-01-20,7175.392597329417,167,106.43387869587306,4.356356752766247,服装,华南
2024-01-21,12931.297537843107,52,174.41065727869952,3.52755145541081,电子产品,华北
2024-01-22,9548.447399026929,193,104.96506654970739,4.223534572327387,书籍,华南
2024-01-23,10135.056409375848,61,141.93497469614474,3.815524369878303,食品,西北
2024-01-24,7150.503627573086,123,136.80407137153747,4.019024851467259,食品,华中
2024-01-25,8911.234550949635,65,169.3006179316221,4.663707103689434,服装,华东
2024-01-26,10221.845179419732,151,196.94113754800588,4.91185625634858,书籍,西北
2024-01-27,7698.012845155394,166,186.14911941902244,3.6086244082195122,食品,华中
2024-01-28,10751.396036691343,57,170.17275056685278,4.3013633089646675,电子产品,华南
2024-01-29,8798.72262016239,171,131.10385063137653,4.8238002287294,服装,西北
2024-01-30,9416.612500413446,141,144.4959253921061,3.623762801660632,书籍,华中
2024-01-31,8796.586775541205,139,140.12178878832546,4.736771070345251,服装,华北
2024-02-01,13704.556369017875,185,135.8915565981167,4.036702026392407,电子产品,华北
2024-02-02,9973.005550524133,109,137.92646674119487,3.983142053329003,书籍,华东
2024-02-03,7884.5781420881995,77,137.1258589479723,4.966199579472178,服装,华中
2024-02-04,11645.089824206378,150,135.79721421898512,3.8012886347934414,家居,华北
2024-02-05,7558.312700057955,90,178.55649054085663,4.539790911234022,电子产品,华南
2024-02-06,10417.727190009511,194,118.36089333401723,4.7321610920148,电子产品,华中
2024-02-07,6080.659752240449,190,128.1157769308851,3.5617752429189076,电子产品,华南
2024-02-08,7343.6279022031395,95,102.49779836881464,4.5055781875316185,家居,华南
2024-02-09,10393.722471738247,84,192.46448407532546,4.927324961532991,家居,华北
2024-02-10,11476.933159990822,183,126.10491124027239,3.686329950092089,食品,华中
2024-02-11,10342.736562379941,131,169.8232569516642,4.844331954027558,服装,西北
2024-02-12,9768.703435223519,164,164.2595658063692,4.392164956065404,食品,华北
2024-02-13,9397.792608821423,96,189.56515863272313,4.424906872793711,服装,华北
2024-02-14,7042.956019265145,59,143.69949904874719,4.419416262298409,家居,华中
2024-02-15,8560.311583210583,105,121.57380638142263,3.948253829505971,家居,华中
2024-02-16,9078.722458080425,79,103.32750072385114,4.90280272294919,食品,华南
2024-02-17,12114.244452437832,158,66.46093065653699,4.921025693946558,书籍,华中
2024-02-18,10687.236579136923,54,154.84059677636708,4.437956990320922,食品,华南
2024-02-19,6473.919689274532,168,173.26417717466742,4.675134088912422,服装,华北
2024-02-20,10648.16793878959,82,164.15064315593523,4.4183869788217365,食品,华东
2024-02-21,9229.835439167367,167,104.10707090481577,4.226597671361061,电子产品,西北
2024-02-22,8646.155999388082,114,181.16478435335787,4.491230177448876,服装,华北
2024-02-23,11223.352577681735,195,129.05351915053942,4.329502178887938,服装,华中
2024-02-24,12061.999044991902,60,122.79289517574738,4.396213793947895,书籍,西北
2024-02-25,11862.560238232398,134,128.3810329409045,4.675748830128293,家居,华东
2024-02-26,8321.564953554724,75,152.3522676751823,4.221355747173478,服装,华东
2024-02-27,9381.575248297571,112,105.45895285448783,3.561131159138709,家居,华南
2024-02-28,10662.526862807128,135,148.88892258842645,3.745999221484246,食品,西北
2024-02-29,11951.090254244718,108,162.8834473615101,4.157910824734308,电子产品,华南
2024-03-01,9041.65152430942,76,183.21971688730844,4.587239839811088,书籍,华北
2024-03-02,9628.682046672366,147,155.27869971663733,4.389917972465268,家居,西北
2024-03-03,7787.330051987943,154,109.81114505418626,4.475441278810181,服装,华北
2024-03-04,7607.5867518386585,148,154.4667068295667,4.218918392864431,家居,华南
2024-03-05,11625.051644788397,178,118.1922517816164,4.423613032913364,服装,西北
2024-03-06,12712.480057141645,198,116.46164530899148,3.9935261567219933,家居,华南
2024-03-07,9855.979756839331,104,109.11889189380062,4.205273889044998,服装,西北
2024-03-08,12007.065795784049,55,92.66238960317928,4.616418598392434,食品,华南
2024-03-09,10723.272050095267,144,132.98510496193813,4.807749168459682,服装,华东
2024-03-10,8709.760490789751,182,183.86666229140724,4.150483000934583,服装,华南
2024-03-11,10722.791211016827,151,217.69452046282626,3.565492486561042,电子产品,华东
2024-03-12,13076.073132931939,52,132.79244524979717,3.742508816220204,服装,华南
2024-03-13,9928.347921780098,72,182.58316580308966,3.531291708937307,电子产品,西北
2024-03-14,13129.287311628013,102,138.16253045290216,4.479894528855995,书籍,西北
2024-03-15,4760.509791820511,132,100.47792841654316,3.9984719380326634,电子产品,西北
2024-03-16,11643.805008750447,194,171.0282678433823,4.313717953579051,食品,华中
2024-03-17,10174.094136476342,134,157.044422603867,4.2399152701756995,电子产品,华北
2024-03-18,9401.985299068265,127,204.54058823883346,3.62228973432864,书籍,西北
2024-03-19,10183.521553071005,159,103.95964554051733,4.104892041685748,食品,华东
2024-03-20,6024.862170798215,50,233.8809812500583,3.8308416873834847,家居,西北
2024-03-21,9560.656224324975,100,197.75151969564467,4.127599683001479,家居,华中
2024-03-22,10714.225143023494,53,149.46229279314437,3.805367420513364,电子产品,华东
2024-03-23,12955.788089483032,162,141.04086624604446,4.7606786094154,电子产品,华中
2024-03-24,8963.459563452705,81,128.5257039339415,3.7612900048673805,书籍,华东
2024-03-25,8383.012794213624,83,153.2919791756338,4.941170827230465,书籍,华南
2024-03-26,8996.485912830927,141,144.48191533773064,4.1238610492204115,服装,华北
2024-03-27,11830.804235404148,144,165.41386240741832,4.769367938028574,书籍,华北
2024-03-28,10657.502219319369,121,141.16900016945084,4.443147227308918,服装,华中
2024-03-29,8940.479592465923,88,192.44891074489988,4.603025447998629,食品,华北
2024-03-30,11026.534866226712,167,153.7513809349934,4.651585832100171,电子产品,华中
2024-03-31,10194.155098696081,52,142.29548916222805,4.257267322839526,食品,华中
2024-04-01,11937.289981065778,172,180.7285974533817,4.314950785044933,书籍,华中
2024-04-02,8595.893812245295,99,101.32429109406743,4.270993801713088,食品,华北
2024-04-03,9344.675706804464,61,160.229650568314,4.382087567135119,食品,华中
2024-04-04,9215.783693735684,103,150.767140092283,3.5440916686347608,食品,华北
2024-04-05,7072.970103735763,182,107.67448408782651,4.093272754773523,书籍,华中
2024-04-06,10592.240554129152,106,98.74490161294477,4.409283070341758,食品,西北
2024-04-07,10522.110544359779,194,180.31035008824733,4.396585347883796,服装,华中
2024-04-08,10010.226913284921,161,178.8837207105208,4.689434141908447,书籍,华东
2024-04-09,9530.825733249707,96,155.17675288903078,4.482514008248163,食品,华中
2024-04-10,7169.2585158991715,134,201.49973329364173,4.988199974511009,书籍,华南
2024-04-11,9158.709354469282,191,163.22904545583808,3.9257817929129675,家居,华中
2024-04-12,9314.570966946461,115,187.49415958233647,4.038726544499347,服装,华东
2024-04-13,8395.445461556763,124,162.6097376155356,4.075770727801695,食品,华东
2024-04-14,9677.428576667982,152,141.72571303194024,4.198719210530372,家居,华北
2024-04-15,10808.101713629077,87,118.27406245699973,4.753997095671814,家居,西北
2024-04-16,13772.371802421061,99,131.89691235291713,3.853688140938815,书籍,华中
